,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Joel Embiid,PHI,30,39,31,8,33.6,34.7,11.5,21.8,52.9,1.4,3.6,38.8,10.2,11.6,88.3,2.4,8.6,11,5.6,3.8,1.2,1.7,2.9,61.1,30,2,6.8
2,Luka Dončić,DAL,25,70,46,24,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,0.8,8.4,9.2,9.8,4,1.4,0.5,2.1,61.5,49,21,4.6
3,Giannis Antetokounmpo,MIL,29,73,45,28,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7,10.7,65.7,2.7,8.8,11.5,6.5,3.4,1.2,1.1,2.9,57.4,57,10,4.6
4,Shai Gilgeous-Alexander,OKC,25,75,55,20,34,30.1,10.6,19.8,53.5,1.3,3.6,35.3,7.6,8.7,87.4,0.9,4.7,5.5,6.2,2.2,2,0.9,2.5,52.5,8,0,8.2
5,Jalen Brunson,NYK,27,77,49,28,35.4,28.7,10.3,21.4,47.9,2.7,6.8,40.1,5.5,6.5,84.7,0.6,3.1,3.6,6.7,2.4,0.9,0.2,1.9,44,9,0,6.6
6,Kevin Durant,PHX,35,75,44,31,37.2,27.1,10,19.1,52.3,2.2,5.4,41.3,4.8,5.6,85.6,0.5,6.1,6.6,5,3.3,0.9,1.2,1.8,45.7,14,1,3.9
7,Devin Booker,PHX,27,68,43,25,36,27.1,9.4,19.2,49.2,2.2,6.1,36.4,6,6.7,88.6,0.8,3.7,4.5,6.9,2.6,0.9,0.4,3,44.2,13,0,4.6
8,Jayson Tatum,BOS,26,74,57,17,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,0.9,7.2,8.1,4.9,2.5,1,0.6,2,46.2,25,0,8.2
9,Donovan Mitchell,CLE,27,55,36,19,35.3,26.6,9.1,19.8,46.2,3.3,9,36.8,5,5.8,86.5,0.8,4.3,5.1,6.1,2.8,1.8,0.5,2.1,46.1,6,0,5.9
10,De'Aaron Fox,SAC,26,74,42,32,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,0.9,3.7,4.6,5.6,2.6,2,0.4,2.6,45.3,6,0,3.1
11,Stephen Curry,GSW,36,74,43,31,32.7,26.4,8.8,19.5,45,4.8,11.8,40.8,4,4.4,92.3,0.5,4,4.5,5.1,2.8,0.7,0.4,1.6,40,7,0,2.6
12,Nikola Jokić,DEN,29,79,55,24,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9,3,1.4,0.9,2.5,58.3,68,25,8.6
13,Tyrese Maxey,PHI,23,70,43,27,37.5,25.9,9.1,20.3,45,3,8.1,37.3,4.7,5.4,86.8,0.5,3.2,3.7,6.2,1.7,1,0.5,2.2,42.4,9,0,4.3
14,Anthony Edwards,MIN,22,79,54,25,35.1,25.9,9.1,19.7,46.1,2.4,6.7,35.7,5.4,6.4,83.6,0.7,4.8,5.4,5.1,3.1,1.3,0.5,1.8,42.5,9,0,5.5
15,Trae Young,ATL,25,54,22,32,36,25.7,8,18.7,43,3.2,8.7,37.3,6.4,7.5,85.5,0.4,2.3,2.8,10.8,4.4,1.3,0.2,2,45.5,37,0,-2.1
16,LeBron James,LAL,39,71,41,30,35.3,25.7,9.6,17.9,54,2.1,5.1,41,4.3,5.7,75,0.9,6.4,7.3,8.3,3.5,1.3,0.5,1.1,48.8,27,5,3.1
17,Kyrie Irving,DAL,32,58,39,19,35,25.6,9.7,19.5,49.7,3,7.3,41.1,3.3,3.6,90.5,0.8,4.2,5,5.2,1.8,1.3,0.5,1.9,42.8,5,0,4.8
18,Ja Morant,MEM,24,9,6,3,35.3,25.1,8.9,18.9,47.1,1.6,5.7,27.5,5.8,7.1,81.3,0.7,4.9,5.6,8.1,3,0.8,0.6,2.1,44.9,3,0,1.2
19,Anthony Davis,LAL,31,76,45,31,35.5,24.7,9.4,16.9,55.6,0.4,1.4,27.1,5.5,6.8,81.6,3.1,9.5,12.6,3.5,2.1,1.2,2.3,2.3,53.6,64,2,2
20,Damian Lillard,MIL,33,73,48,25,35.3,24.3,7.4,17.5,42.4,3,8.5,35.4,6.5,7,92,0.5,3.9,4.4,7,2.6,1,0.2,1.8,41.1,12,0,5.3
21,DeMar DeRozan,CHI,34,79,37,42,37.8,24,8.2,17.2,48,0.9,2.8,33.3,6.6,7.7,85.3,0.5,3.8,4.3,5.3,1.7,1.1,0.6,2,40.6,7,0,-0.8
22,Julius Randle,NYK,29,46,29,17,35.4,24,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,2.2,7,9.2,5,3.5,0.5,0.3,2.7,41.4,18,1,4.7
23,LaMelo Ball,CHA,22,22,7,15,32.3,23.9,8.3,19.2,43.3,3.2,9,35.5,4.1,4.7,86.5,1.3,3.8,5.1,8,3.8,1.8,0.2,3.6,44.3,7,1,-6.3
24,Desmond Bane,MEM,26,42,14,28,34.4,23.7,8.6,18.5,46.4,3.3,8.6,38.1,3.3,3.8,87,0.9,3.5,4.4,5.5,2.7,1,0.5,2.9,39.2,3,0,-4.8
25,Kawhi Leonard,LAC,33,68,44,24,34.3,23.7,9,17.1,52.5,2.1,4.9,41.7,3.7,4.2,88.5,1.2,4.9,6.1,3.6,1.8,1.6,0.9,1.4,42.2,4,1,5.8
26,Lauri Markkanen,UTA,27,55,22,33,33.1,23.2,7.8,16.2,48,3.2,8,39.9,4.5,5,89.9,2.2,5.9,8.2,2,1.4,0.9,0.5,1.8,38.8,19,0,0.4
27,Jaylen Brown,BOS,27,70,52,18,33.5,23,9,17.9,49.9,2.1,5.9,35.4,3,4.3,70.3,1.2,4.3,5.5,3.6,2.4,1.2,0.5,2.6,37.7,6,1,5.9
28,Zion Williamson,NOP,23,70,42,28,31.5,22.9,8.9,15.6,57,0.1,0.3,33.3,5,7.1,70.2,1.7,4.1,5.8,5,2.8,1.1,0.7,2.3,39.9,12,0,2
29,Cade Cunningham,DET,22,62,9,53,33.5,22.7,8.5,18.8,44.9,1.9,5.4,35.5,3.8,4.4,86.9,0.5,3.8,4.3,7.5,3.4,0.9,0.4,2.5,39.4,14,0,-5.6
30,Anfernee Simons,POR,25,46,11,35,34.4,22.6,7.8,18.2,43,3.4,8.8,38.5,3.5,3.9,91.6,0.5,3.2,3.6,5.5,2.7,0.5,0.1,2.1,34.3,3,0,-7.2
31,Paul George,LAC,34,74,48,26,33.8,22.6,7.9,16.7,47.1,3.3,7.9,41.3,3.6,3.9,90.7,0.5,4.7,5.2,3.5,2.1,1.5,0.5,2.7,38.2,3,0,6.2
32,Paolo Banchero,ORL,21,80,46,34,35,22.6,8,17.6,45.5,1.5,4.4,33.9,5.1,7,72.5,1,5.9,6.9,5.4,3.1,0.9,0.6,1.9,40.3,16,2,0
33,Jaren Jackson Jr.,MEM,24,66,22,44,32.2,22.5,7.8,17.6,44.4,1.8,5.5,32,5.1,6.3,80.8,1.3,4.2,5.5,2.3,2.4,1.2,1.6,3.6,38.7,5,0,-5.2
34,Dejounte Murray,ATL,27,78,34,44,35.7,22.5,8.6,18.8,45.9,2.6,7.1,36.3,2.7,3.4,79.4,0.8,4.5,5.3,6.4,2.6,1.4,0.3,1.8,41.1,20,1,-2
35,Cam Thomas,BKN,22,66,23,43,31.4,22.5,8,18,44.2,2.2,6,36.4,4.3,5.1,85.6,0.4,2.8,3.2,2.9,1.9,0.7,0.2,2.1,31.6,0,0,-3
36,Kyle Kuzma,WAS,28,70,13,57,32.6,22.2,8.7,18.8,46.3,2.2,6.4,33.6,2.7,3.4,77.5,0.9,5.7,6.6,4.2,2.7,0.5,0.7,2.2,37.4,14,0,-8
37,Karl-Anthony Towns,MIN,28,62,42,20,32.7,21.8,7.7,15.3,50.4,2.2,5.3,41.6,4.1,4.7,87.3,1.5,6.8,8.3,3,2.9,0.7,0.7,3.3,37.5,22,0,5.2
38,Pascal Siakam,IND,30,80,38,42,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5,73.2,1.7,5.3,7.1,4.3,1.8,0.8,0.3,2.4,38.1,15,1,1.4
39,Victor Wembanyama,SAS,20,71,19,52,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,2.3,8.4,10.6,3.9,3.7,1.2,3.6,2.2,50.8,43,2,-2
40,Jamal Murray,DEN,27,59,44,15,31.5,21.2,8,16.7,48.1,2.5,5.8,42.5,2.7,3.1,85.3,0.7,3.4,4.1,6.5,2.1,1,0.7,1.8,38.6,11,0,5.3
41,Alperen Sengun,HOU,21,63,29,34,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,2.9,6.4,9.3,5,2.6,1.2,0.7,3.3,43,29,2,0.8
42,Miles Bridges,CHA,26,69,17,52,37.4,21,8.1,17.5,46.2,2.3,6.5,34.9,2.5,3.1,82.5,1,6.3,7.3,3.3,2,0.9,0.5,1.7,37.1,19,0,-9.2
43,Jerami Grant,POR,30,54,17,37,33.9,21,7.1,15.7,45.1,2.1,5.1,40.2,4.7,5.8,81.7,0.7,2.9,3.5,2.8,2.1,0.8,0.6,2.2,31.7,1,0,-6.5
44,Tyler Herro,MIA,24,42,23,19,33.5,20.8,7.7,17.5,44.1,3.1,7.9,39.6,2.3,2.6,85.6,0.5,4.8,5.3,4.5,2.2,0.7,0.1,1.5,34,2,0,0.7
45,Brandon Ingram,NOP,26,64,38,26,32.9,20.8,7.8,15.9,49.2,1.3,3.8,35.5,3.8,4.8,80.1,0.7,4.4,5.1,5.7,2.5,0.8,0.6,2.3,37.1,3,1,2.7
46,Jimmy Butler,MIA,34,60,33,27,34,20.8,6.6,13.2,49.9,1,2.4,41.4,6.6,7.7,85.8,1.8,3.6,5.3,5,1.7,1.3,0.3,1.1,37.7,5,1,3.6
47,RJ Barrett,TOR,24,58,26,32,31.7,20.2,7.5,15.2,49.5,1.6,4.3,36,3.6,5,71.5,0.9,4.5,5.4,3.3,2.2,0.5,0.4,2.2,32.3,2,0,-2.6
48,Tyrese Haliburton,IND,24,69,40,29,32.2,20.1,7.2,15.2,47.7,2.8,7.8,36.4,2.8,3.3,85.5,0.5,3.4,3.9,10.9,2.3,1.2,0.7,1.1,44.6,44,1,4.3
49,Kristaps Porziņģis,BOS,28,57,43,14,29.6,20.1,6.8,13.2,51.6,1.9,5.1,37.5,4.5,5.3,85.8,1.7,5.5,7.2,2,1.6,0.7,1.9,2.7,38.2,13,0,7.3
50,CJ McCollum,NOP,32,66,42,24,32.7,20,7.3,16,45.9,3.6,8.4,42.9,1.7,2.1,82.7,0.6,3.7,4.3,4.6,1.7,0.9,0.6,1.9,35.2,2,0,3
51,Scottie Barnes,TOR,22,60,22,38,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,2.4,5.9,8.2,6.1,2.8,1.3,1.5,2,44.2,25,4,-2.4
52,Terry Rozier,MIA,30,61,22,39,33.4,19.8,7.2,16.4,44.3,2.4,6.7,36.3,2.8,3.2,86.9,0.6,3.5,4,5.6,1.7,1,0.3,1.7,35.4,4,0,-4.8
53,Franz Wagner,ORL,22,72,44,28,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85,1,4.3,5.3,3.7,1.9,1.1,0.4,2.3,34.1,0,0,2.8
54,Jalen Green,HOU,22,82,41,41,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,0.5,4.7,5.2,3.5,2.3,0.8,0.3,1.4,32.3,7,1,0.4
55,Mikal Bridges,BKN,27,82,32,50,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,0.8,3.7,4.5,3.6,2,1,0.4,1.4,32.6,3,0,-2.3
56,Zach LaVine,CHI,29,25,10,15,34.9,19.5,6.8,15,45.2,2.4,6.8,34.9,3.5,4.1,85.4,0.3,4.8,5.2,3.9,2.1,0.8,0.3,2.3,33,1,0,-3.7
57,Devin Vassell,SAS,23,68,17,51,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3,80.1,0.4,3.4,3.8,4.1,1.6,1.1,0.3,1.1,32.8,0,0,-4.3
58,Domantas Sabonis,SAC,28,82,46,36,35.7,19.4,7.7,13,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,3.3,0.9,0.6,3,49.3,77,26,0.8
59,Bam Adebayo,MIA,26,71,40,31,34,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,2.2,8.1,10.4,3.9,2.3,1.1,0.9,2.2,41.5,42,2,0.7
60,Coby White,CHI,24,79,37,42,36.5,19.1,6.8,15.3,44.7,2.6,7,37.6,2.8,3.3,83.8,0.6,4,4.5,5.1,2.1,0.7,0.2,2.4,32.8,5,0,-0.4
61,Jalen Williams,OKC,23,71,51,20,31.3,19.1,7.5,14,54,1.5,3.4,42.7,2.5,3.1,81.4,0.5,3.5,4,4.5,1.7,1.1,0.6,2.5,34.2,3,0,5.4
62,Collin Sexton,UTA,25,78,29,49,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,0.9,1.7,2.6,4.9,2.1,0.8,0.2,2,30.2,4,0,-1.8
63,Bradley Beal,PHX,31,53,33,20,33.3,18.2,7.1,13.9,51.3,1.9,4.4,43,2.1,2.5,81.3,1,3.4,4.4,5,2.5,1,0.5,2.4,32.9,3,0,2
64,Darius Garland,CLE,24,57,31,26,33.3,18,6.6,14.8,44.6,2.3,6.2,37.1,2.6,3.1,83.4,0.5,2.1,2.7,6.5,3.1,1.3,0.1,1.7,32.2,6,0,2
65,Nikola Vučević,CHI,33,76,36,40,34.3,18,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,2.8,7.8,10.5,3.3,1.6,0.7,0.8,2.5,38.5,45,0,-2.4
66,D'Angelo Russell,LAL,28,76,46,30,32.7,18,6.5,14.2,45.6,3,7.2,41.5,2.1,2.5,82.8,0.4,2.7,3.1,6.3,2.1,0.9,0.5,2.1,33.3,10,0,2.4
67,Klay Thompson,GSW,34,77,41,36,29.7,17.9,6.4,14.7,43.2,3.5,9,38.7,1.6,1.8,92.7,0.5,2.8,3.3,2.3,1.5,0.6,0.5,1.6,27,0,0,0.1
68,Fred VanVleet,HOU,30,73,38,35,36.8,17.4,5.8,13.9,41.6,3.1,8,38.7,2.7,3.1,86,0.5,3.4,3.8,8.1,1.7,1.4,0.8,2.5,38.9,20,0,2.5
69,Jordan Poole,WAS,25,78,15,63,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,0.4,2.3,2.7,4.4,2.4,1.1,0.3,3.1,29.1,4,0,-7.1
70,Brandon Miller,CHA,21,74,18,56,32.2,17.3,6.4,14.6,44,2.5,6.7,37.3,1.9,2.3,82.7,0.8,3.4,4.3,2.4,1.8,0.9,0.6,2.5,28.5,1,0,-6.9
71,Tobias Harris,PHI,31,70,41,29,33.8,17.2,6.6,13.6,48.7,1.3,3.7,35.3,2.7,3,87.8,1.1,5.3,6.5,3.1,1.3,1,0.7,1.6,33.3,9,0,3.2
72,Jordan Clarkson,UTA,32,55,22,33,30.6,17.1,6.1,14.8,41.3,1.7,5.6,29.4,3.2,3.7,88.1,0.9,2.5,3.4,5,2.7,0.6,0.1,1.5,28.4,6,1,-3.5
73,Myles Turner,IND,28,77,45,32,27,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,1.5,5.5,6.9,1.3,1.4,0.5,1.9,3,33,17,0,2.9
74,Immanuel Quickley,TOR,25,68,28,40,29.2,17,5.7,13.1,43.4,2.5,6.4,39.5,3.1,3.6,85.3,0.3,3.6,3.8,4.9,1.5,0.7,0.1,1.8,30,8,0,-0.5
75,Bogdan Bogdanović,ATL,31,79,35,44,30.4,16.9,6,13.9,42.8,3,8.1,37.4,1.9,2.1,92.1,0.7,2.8,3.4,3.1,1.4,1.2,0.3,2.3,28.9,1,0,1.6
76,Michael Porter Jr.,DEN,26,81,57,24,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,1.3,5.7,7,1.5,1.1,0.5,0.7,1.8,29.8,14,0,5.8
77,Deandre Ayton,POR,25,55,14,41,32.4,16.7,7.8,13.6,57,0,0.2,10,1.2,1.4,82.3,3.2,7.9,11.1,1.6,1.8,1,0.8,2,36,32,0,-5.8
78,James Harden,LAC,34,72,46,26,34.3,16.6,4.9,11.4,42.8,2.6,6.8,38.1,4.2,4.8,87.8,0.5,4.7,5.1,8.5,2.6,1.1,0.8,1.8,38.5,23,3,4
79,Chet Holmgren,OKC,22,82,57,25,29.4,16.5,6.2,11.6,53,1.6,4.3,37,2.7,3.4,79.3,1.6,6.3,7.9,2.4,1.6,0.6,2.3,2.4,37,23,0,5.2
80,Jarrett Allen,CLE,26,77,46,31,31.7,16.5,6.7,10.6,63.4,0,0.1,0,3,4.1,74.2,3.2,7.4,10.5,2.7,1.6,0.7,1.1,1.9,36.9,42,0,2.6
81,Jonathan Kuminga,GSW,21,74,40,34,26.3,16.1,6.2,11.6,52.9,0.7,2.2,32.1,3,4,74.6,1.2,3.6,4.8,2.2,1.6,0.7,0.5,2.3,27.2,5,0,1.7
82,Jalen Johnson,ATL,22,56,27,29,33.7,16,6.4,12.5,51.1,1.3,3.6,35.5,1.9,2.6,72.8,1.3,7.4,8.7,3.6,1.8,1.2,0.8,2.4,36.2,19,1,-1.4
83,Shaedon Sharpe,POR,21,32,8,24,33.1,15.9,5.5,13.6,40.6,1.9,5.6,33.3,3.1,3.7,82.4,1.3,3.7,5,2.9,2.3,0.9,0.4,2.8,27.8,1,0,-7.7
84,Austin Reaves,LAL,26,82,47,35,32.1,15.9,5.6,11.5,48.6,1.9,5.1,36.7,2.8,3.3,85.3,0.7,3.6,4.3,5.5,2.1,0.8,0.3,1.9,30.4,9,1,-0.5
85,Malcolm Brogdon,POR,31,39,15,24,28.7,15.7,5.6,12.7,44,2.1,5.1,41.2,2.4,3,81.9,0.7,3.1,3.8,5.5,1.5,0.7,0.2,1.5,29.7,4,0,-2.1
86,Keldon Johnson,SAS,24,69,17,52,29.5,15.7,5.7,12.5,45.4,1.8,5.3,34.6,2.5,3.2,79.2,1.4,4.1,5.5,2.8,1.4,0.7,0.3,2.2,28.1,9,0,-5
87,Evan Mobley,CLE,23,50,29,21,30.6,15.7,6.4,11.1,57.9,0.4,1.2,37.3,2.5,3.4,71.9,2.2,7.1,9.4,3.2,1.8,0.9,1.4,2.7,37,22,0,0.7
88,De'Andre Hunter,ATL,26,57,26,31,29.5,15.6,5.3,11.6,45.9,2.1,5.3,38.5,2.9,3.4,84.7,0.5,3.4,3.9,1.5,1.5,0.7,0.3,2.6,24.1,3,0,-0.9
89,Donte DiVincenzo,NYK,27,81,50,31,29.1,15.5,5.5,12.4,44.3,3.5,8.7,40.1,1.1,1.4,75.4,0.8,2.9,3.7,2.7,1.4,1.3,0.4,2,27.8,0,0,2
90,Kelly Oubre Jr.,PHI,28,68,40,28,30.2,15.4,5.7,12.9,44.1,1.5,4.8,31.1,2.6,3.4,75,1.4,3.6,5,1.5,1.3,1.1,0.7,2.9,27.9,4,0,-0.4
91,Malik Monk,SAC,26,72,42,30,26,15.4,5.5,12.4,44.3,2.1,5.9,35,2.4,2.8,82.9,0.4,2.6,2.9,5.1,2.1,0.6,0.5,2.2,28.1,2,0,0.1
92,Jaden Ivey,DET,22,77,14,63,28.8,15.4,5.4,12.6,42.9,1.6,4.8,33.6,2.9,3.9,74.9,1.1,2.3,3.4,3.8,2.5,0.7,0.5,2.6,26.6,2,0,-4.5
93,Bojan Bogdanović,NYK,35,57,20,37,25.9,15.2,5.4,11.9,45.4,2.3,5.9,39.8,2.1,2.6,78.5,0.4,2.3,2.7,1.7,1.8,0.5,0.1,1.7,21.1,1,0,-6.1
94,Keegan Murray,SAC,23,77,43,34,33.6,15.2,5.8,12.7,45.4,2.4,6.6,35.8,1.3,1.6,83.1,1.4,4.1,5.5,1.7,0.8,1,0.8,2.7,28.8,8,0,1.8
95,Derrick White,BOS,29,73,58,15,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,0.7,3.5,4.2,5.2,1.5,1,1.2,2.1,33.1,5,1,8.5
96,John Collins,UTA,26,68,27,41,28,15.1,5.8,11,53.2,1.3,3.4,37.1,2.2,2.7,79.5,2.3,6.1,8.5,1.1,1.4,0.6,0.9,2.8,30,24,0,-4.5
97,Khris Middleton,MIL,32,55,31,24,27,15.1,5.8,11.7,49.3,1.7,4.5,38.1,1.8,2.2,83.3,0.7,3.9,4.7,5.3,2.3,0.9,0.3,2.6,29.9,5,1,2.3
98,Trey Murphy III,NOP,24,57,35,22,29.7,14.8,4.8,10.9,44.3,3,7.8,38,2.2,2.6,81.5,0.7,4.2,4.9,2.2,0.6,0.9,0.5,1.2,27.5,1,0,4.6
99,Deni Avdija,WAS,23,75,14,61,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,74,1.1,6.1,7.2,3.8,2.1,0.8,0.5,2.5,30.7,18,0,-4.4
100,OG Anunoby,NYK,26,50,31,19,34,14.7,5.6,11.5,48.9,2,5.3,38.2,1.3,1.8,75.3,0.9,3.2,4.2,2.1,1.6,1.4,0.7,2.4,27.5,0,0,7.8
101,GG Jackson,MEM,19,48,14,34,25.7,14.6,5,11.7,42.8,2.1,6,35.7,2.4,3.2,75.2,1.1,3,4.1,1.2,1.4,0.6,0.5,1.3,23.2,2,0,-4
102,Bennedict Mathurin,IND,22,59,33,26,26.1,14.5,5,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,1,2.9,4,2,1.6,0.6,0.2,2,23.1,3,0,-1.6
103,Marcus Smart,MEM,30,20,7,13,30.2,14.5,5.1,11.9,43,2.1,6.7,31.3,2.2,2.8,76.8,0.3,2.4,2.7,4.3,3.1,2.1,0.3,2.7,27.9,0,0,-1
104,Tim Hardaway Jr.,DAL,32,79,49,30,26.8,14.4,5,12.4,40.2,2.7,7.6,35.3,1.8,2.1,85.2,0.3,2.9,3.2,1.8,0.9,0.5,0.1,1.3,21.9,0,0,0.2
105,Dennis Schröder,BKN,30,80,30,50,31.1,14,5,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,0.5,2.5,3,6.1,1.9,0.8,0.2,2.1,27.9,8,0,-1.6
106,Caris LeVert,CLE,29,68,38,30,28.8,14,5.1,12.1,42.1,1.6,4.9,32.5,2.3,3,76.6,0.6,3.5,4.1,5.1,1.7,1.1,0.5,1.8,29.7,6,0,1.8
106,Scoot Henderson,POR,20,62,18,44,28.5,14,5,12.9,38.5,1.4,4.3,32.5,2.7,3.3,81.9,0.9,2.3,3.1,5.4,3.4,0.8,0.2,3.1,25.4,8,0,-8
108,Rudy Gobert,MIN,32,76,53,23,34.1,14,5.3,8.1,66.1,0,0,0,3.3,5.1,63.8,3.8,9.2,12.9,1.3,1.6,0.7,2.1,3.1,38.4,54,0,5.4
109,Norman Powell,LAC,31,76,48,28,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,0.2,2.4,2.6,1.1,0.9,0.6,0.3,1.8,20.3,0,0,2.8
110,Aaron Gordon,DEN,28,73,49,24,31.5,13.9,5.5,9.8,55.6,0.5,1.9,29,2.4,3.7,65.8,2.4,4.1,6.5,3.5,1.4,0.8,0.6,1.9,29.7,12,0,5.8
111,Jalen Duren,DET,20,61,13,48,29.1,13.8,5.7,9.2,61.9,0,0.1,0,2.3,3,79,3.1,8.5,11.6,2.4,2.1,0.5,0.8,3.1,33.2,44,0,-5.1
112,Bobby Portis,MIL,29,82,49,33,24.5,13.8,5.7,11.2,50.8,1.2,3,40.7,1.2,1.5,79,1.7,5.7,7.4,1.3,1.1,0.8,0.4,2.3,27.2,17,0,-0.1
113,Jabari Smith Jr.,HOU,21,76,39,37,31.9,13.7,5,11,45.4,1.8,5,36.3,2,2.4,81.1,1.8,6.3,8.1,1.6,1.2,0.7,0.8,2.6,29.1,16,0,-1.1
114,Gary Trent Jr.,TOR,25,71,24,47,28.1,13.7,5.1,11.9,42.6,2.5,6.4,39.3,1,1.4,77.1,0.4,2.3,2.6,1.7,0.7,1.1,0.1,1.4,22.4,1,0,-2.7
115,Saddiq Bey,ATL,25,63,28,35,32.7,13.7,4.6,11.1,41.6,1.8,5.7,31.6,2.7,3.2,83.7,2.7,3.9,6.5,1.5,0.9,0.8,0.2,1.4,25.8,8,0,-0.3
116,Rui Hachimura,LAL,26,68,40,28,26.8,13.6,5.3,9.9,53.7,1.4,3.4,42.2,1.5,2,73.9,0.9,3.5,4.3,1.2,0.7,0.6,0.4,1.5,22.8,4,0,1.8
117,Grayson Allen,PHX,28,75,45,30,33.5,13.5,4.5,9.1,49.9,2.7,5.9,46.1,1.7,2,87.8,0.6,3.3,3.9,3,1.3,0.9,0.6,2.1,26.1,1,0,3.5
118,Naz Reid,MIN,24,81,56,25,24.2,13.5,5,10.5,47.7,2.1,5,41.4,1.3,1.8,73.6,0.9,4.3,5.2,1.3,1.4,0.8,0.9,2.1,25.4,6,0,3.1
119,Cameron Johnson,BKN,28,58,21,37,27.6,13.4,4.8,10.7,44.6,2.4,6.1,39.1,1.5,1.9,78.9,0.9,3.4,4.3,2.4,1,0.8,0.3,1.8,24.5,1,0,-1.3
120,Corey Kispert,WAS,25,80,15,65,25.8,13.4,4.8,9.9,48.6,2.3,6,38.3,1.4,2,72.6,0.4,2.4,2.8,2,1.2,0.5,0.2,1.8,20.6,1,0,-5.6
121,Andrew Wiggins,GSW,29,71,38,33,27,13.2,5,11,45.3,1.3,3.6,35.8,2,2.7,75.1,1.5,3,4.5,1.7,1.2,0.6,0.6,2.1,23.4,3,0,-0.8
122,Keyonte George,UTA,20,75,27,48,27,13,4.3,10.9,39.1,2,5.9,33.4,2.5,3,84.8,0.2,2.6,2.8,4.4,2.5,0.5,0.1,1.2,22.2,1,0,-5
123,Scotty Pippen Jr.,MEM,23,21,5,16,25.1,12.9,4.8,9.7,49.3,1.4,3.4,41.7,2,2.6,74.5,1,2.1,3.2,4.7,2.7,1.7,0.5,2.9,27.6,0,0,-3.4
124,Duncan Robinson,MIA,30,68,38,30,28,12.9,4.5,9.9,45,2.8,7,39.5,1.2,1.3,88.9,0.2,2.3,2.5,2.8,1.4,0.7,0.2,2.4,21.5,0,0,0.6
125,P.J. Washington,DAL,25,73,30,43,30.4,12.9,4.8,11.1,43.6,1.8,5.7,32,1.4,2,68.3,1.2,4.5,5.6,1.9,1.3,1,0.8,2.3,26.6,4,0,-1.8
126,Mark Williams,CHA,22,19,7,12,26.8,12.7,5.2,7.9,64.9,0,0,0,2.4,3.4,71.9,4,5.7,9.7,1.2,0.9,0.8,1.1,2.6,30.9,8,0,-1.1
127,Dillon Brooks,HOU,28,72,36,36,30.9,12.7,4.6,10.7,42.8,1.8,5.1,35.9,1.7,2,84.4,0.7,2.7,3.4,1.7,1.2,0.9,0.1,3.3,21.1,1,0,-0.3
128,Jalen Suggs,ORL,23,75,43,32,27,12.6,4.5,9.5,47.1,2,5.1,39.7,1.6,2.1,75.6,0.6,2.4,3.1,2.7,1.8,1.4,0.6,2.7,24.7,0,0,0.6
129,Brook Lopez,MIL,36,79,48,31,30.5,12.5,4.6,9.6,48.5,1.9,5.1,36.6,1.4,1.7,82.1,1.5,3.7,5.2,1.6,1,0.5,2.4,2.4,29,5,0,3.5
